title,campaign_name,primary_platform,secondary_platforms,template_name,pillar,audience,brand_layer,objective,content_type,asset_packet_type,core_message,cta,required_asset_roles,planned_week,planned_date,notes
What Sparq Is,Sparq Brand Foundations,LinkedIn,Instagram|X,Brand Thesis Statement,Brand World,Investors and partners,parent_brand,Clarify brand,statement post,Packet A,Sparq is building the operating system for college sports fandom,Explore the ecosystem,style_reference|compositing_logo|context_card,Week 1,,Use as first planning test
School Pride Should Live Somewhere,Sparq Brand Foundations,Instagram,TikTok|YouTube,Brand Film / Motion Statement,Brand World,Fans,parent_brand,Build emotional resonance,motion statement,Packet A,School pride deserves a game-native world,Follow Sparq,style_reference|background_mood|compositing_logo,Week 1,,Hero visual test
Why This Category Exists,Sparq Brand Foundations,YouTube,LinkedIn|X,Founder POV,Category Narrative,Investors and fans,parent_brand,Explain category gap,founder video,Packet B,College sports fandom needs a new operator,Subscribe for updates,founder_clip|context_card,Week 1,,Long-form narrative anchor
Competition Is Still Underserved,Sparq Brand Foundations,X,LinkedIn,Community / Fandom Insight,Category Narrative,Fans,parent_brand,Express market gap,commentary post,Packet C,The fan demand exists and the product layer lagged,,context_card,Week 1,,Short commentary test
Signal Feed 01,Sparq Brand Foundations,Instagram,X,Quote Graphic,Brand World,Fans,parent_brand,Build visual memory,statement graphic,Packet A,Premium chaos under control,,style_reference|compositing_logo,Week 1,,Signal Chaos visual test
Ecosystem Map 01,Sparq Ecosystem,LinkedIn,Instagram|YouTube,Ecosystem Explainer,Portfolio Signals,Investors and partners,parent_brand,Explain ecosystem,explainer post,Packet C,Sparq, Crown U, future titles, and systems fit one architecture,Explore the ecosystem,ecosystem_diagram|context_card,Week 2,,Best early explainer candidate
Crown U as Flagship Proof,Sparq Ecosystem,LinkedIn,Instagram,Investor-Legibility Proof,Portfolio Signals,Investors,parent_brand,Bridge parent to flagship,proof post,Packet D,Crown U is the flagship proof of the system,View Crown U,gameplay_screenshot|context_card,Week 2,,Use high-quality gameplay assets
School Spirit Rewired 01,Sparq Category,TikTok,Instagram|X,Community / Fandom Insight,Athlete and Fan Legitimacy,Fans,parent_brand,Reframe school spirit,short-form video,Packet A,School spirit should do more than sit on merch,,style_reference|context_card,Week 2,,High-hook TikTok concept
Why NIL Matters Here,Sparq Category,Instagram,LinkedIn|YouTube,Athlete / Mission Story,Athlete and Fan Legitimacy,Athletes and partners,parent_brand,Explain athlete upside,mission story,Packet D,Athlete upside is part of the company logic,Learn about the mission,subject_reference|context_card,Week 2,,Needs approved athlete-safe references
Built Different 01,Sparq Systems,LinkedIn,X|YouTube,Investor-Legibility Proof,System Proof,Investors,parent_brand,Show operational leverage,proof graphic,Packet C,AI-native leverage changes the production model,See how the system works,system_visual|context_card,Week 2,,Strong LinkedIn proof post
Signal Feed 02,Sparq Brand Foundations,Instagram,X,Brand Thesis Statement,Brand World,Fans,parent_brand,Reinforce differentiation,statement graphic,Packet A,Identity over genericity,,style_reference|compositing_logo,Week 3,,Simple high-polish visual
Founder Cut 01,Sparq Category,YouTube,LinkedIn|TikTok,Founder POV,Category Narrative,Investors and fans,parent_brand,Explain the old model gap,founder video,Packet B,The old sports-game model leaves too much value on the table,Subscribe for updates,founder_clip,Week 3,,Can be clipped for Shorts
Ecosystem Map 02,Sparq Systems,Instagram,LinkedIn|YouTube,Ecosystem Explainer,System Proof,Fans and partners,parent_brand,Explain internal systems,carousel explainer,Packet C,Sparq Playmaker and BrandWeave help make the category scalable,Explore the ecosystem,ecosystem_diagram|context_card,Week 3,,Strong carousel candidate
Fandom Truth 01,Sparq Category,X,LinkedIn,Community / Fandom Insight,Category Narrative,Fans,parent_brand,State a fan truth,commentary post,Packet C,Rivalry is one of the strongest emotional engines in sports,,context_card,Week 3,,Concise point of view
Character World Signal,Sparq Portfolio,Instagram,TikTok|YouTube,Character / World Reveal,Portfolio Signals,Fans,parent_brand,Show premium world-building,visual reveal,Packet D,Premium world-building can reinforce the parent brand too,Follow Sparq,subject_reference|style_reference|compositing_logo,Week 3,,One of the five priority build tests
Why We Are Not Just a Studio,Sparq Category,LinkedIn,X,Brand Thesis Statement,Category Narrative,Investors,parent_brand,Clarify company model,statement post,Packet A,Sparq is a system layer and not only a content shop,Explore the ecosystem,context_card|compositing_logo,Week 4,,Clean strategic message
Brand Voltage 01,Sparq Brand Voltage,TikTok,Instagram|YouTube,Brand Film / Motion Statement,Controlled Heat,Fans,parent_brand,Create memorability,high-energy short-form,Packet A,More signal more identity more control,Follow Sparq,style_reference|motion_plate,Week 4,,High-force mode test
Gameplay Means Identity,Sparq Portfolio,Instagram,TikTok|YouTube,Gameplay Spotlight,Portfolio Signals,Fans,parent_brand,Connect gameplay back to brand,gameplay feature,Packet D,Gameplay should carry identity not just mechanics,View Crown U,gameplay_screenshot|style_reference,Week 4,,Gameplay-led identity piece
Investor Legibility Cut 01,Sparq Systems,LinkedIn,YouTube,Investor-Legibility Proof,System Proof,Investors,parent_brand,Sharpen moat story,proof post,Packet C,Licensed access plus athlete upside plus AI leverage is a structural story,Partner with Sparq,context_card,Week 4,,Use in investor-facing outreach too
School Spirit Rewired 02,Sparq Category,X,Instagram,Community / Fandom Insight,Athlete and Fan Legitimacy,Fans,parent_brand,Reinforce fandom worldview,commentary post,Packet C,Team identity should feel alive year-round,,context_card,Week 4,,Second fandom reframing post
Founder Cut 02,Sparq Category,YouTube,LinkedIn|X,Founder POV,Category Narrative,Investors,parent_brand,Deepen category definition,founder video,Packet B,What it means to build the operating system for college sports fandom,Subscribe for updates,founder_clip|context_card,Week 5,,System-definition piece
Signal Feed 03,Sparq Brand Foundations,Instagram,X,Quote Graphic,Brand World,Fans,parent_brand,Reinforce visual language,statement graphic,Packet A,Premium sports energy game-native execution,,style_reference,Week 5,,Third signal-feed post
Ecosystem Map 03,Sparq Ecosystem,LinkedIn,Instagram|YouTube,Ecosystem Explainer,Portfolio Signals,Investors and partners,parent_brand,Clarify brand hierarchy,explainer post,Packet C,Parent brand game brands and platform systems each have a different role,Explore the ecosystem,diagram|context_card,Week 5,,Hierarchy clarification
Partnership Proof 01,Sparq Proof,LinkedIn,Instagram|X,Partnership / Proof Announcement,System Proof,Partners,parent_brand,Build trust with external proof,proof announcement,Packet E,Real-world partnerships validate the ambition and discipline of the company,Partner with Sparq,partnership_asset|compositing_logo,Week 5,,Use exact partner marks in compositing
Fandom Truth 02,Sparq Category,TikTok,Instagram|X,Community / Fandom Insight,Athlete and Fan Legitimacy,Fans,parent_brand,Compare identity systems,short-form commentary,Packet C,College sports identity is stronger than generic entertainment identity,,context_card,Week 5,,High-hook short-form
Brand Voltage 02,Sparq Brand Voltage,Instagram,TikTok|YouTube,Brand Film / Motion Statement,Controlled Heat,Fans,parent_brand,Deliver hero statement,motion statement,Packet A,The studio building the games school spirit always deserved,Follow Sparq,style_reference|compositing_logo,Week 6,,Second high-force hero post
Built Different 02,Sparq Systems,LinkedIn,X|YouTube,Investor-Legibility Proof,System Proof,Investors,parent_brand,Show compounding advantage,proof post,Packet C,Systems over one-offs is how Sparq compounds,See how the system works,system_visual|context_card,Week 6,,Second systems proof post
Gameplay Spotlight 02,Sparq Portfolio,Instagram,TikTok|YouTube,Gameplay Spotlight,Portfolio Signals,Fans,parent_brand,Bridge excitement back to brand,gameplay feature,Packet D,Use gameplay to connect product excitement back to parent-brand logic,View Crown U,gameplay_subject|style_reference,Week 6,,Second gameplay-led piece
Founder Cut 03,Sparq Category,YouTube,LinkedIn|TikTok,Founder POV,Category Narrative,Investors and fans,parent_brand,Explain why now,founder video,Packet B,This company exists now because the market and tools finally changed,Subscribe for updates,founder_clip|context_card,Week 6,,Why-now narrative piece
Ecosystem Closing Statement,Sparq Brand Foundations,LinkedIn,Instagram|YouTube,Brand Thesis Statement,Brand World,Investors and partners,parent_brand,Close the series with system clarity,statement post,Packet A,Sparq is building a bigger future than one title,Explore the ecosystem,context_card|compositing_logo,Week 6,,Series closer
